[FileName]-[Scan]	Xs	Vs
RH_Heart_TMTHF_FR1WO_duplicate.txt-100018	0.073373388	138405.0052
RH_Heart_TMTHF_FR1WO_duplicate.txt-100025	0.135062843	176202.3698
RH_Heart_TMTHF_FR1WO_duplicate.txt-100041	0.178683195	145817.7656
RH_Heart_TMTHF_FR1WO_duplicate.txt-100045	-0.441026807	795662.4792
RH_Heart_TMTHF_FR1WO_duplicate.txt-100068	0.114195738	725258.0625
RH_Heart_TMTHF_FR1WO_duplicate.txt-100080	-0.280111909	1117015.563
RH_Heart_TMTHF_FR1WO_duplicate.txt-100141	0.002984752	39111.26953
RH_Heart_TMTHF_FR1WO_duplicate.txt-100154	0.168804656	65830.22656
RH_Heart_TMTHF_FR1WO_duplicate.txt-100160	-0.110469636	210156.5
RH_Heart_TMTHF_FR1WO_duplicate.txt-100180	-0.077485511	359833.2188
RH_Heart_TMTHF_FR1WO_duplicate.txt-100188	-0.075268578	2507448.375
RH_Heart_TMTHF_FR1WO_duplicate.txt-100190	0.139863882	48532.1237
RH_Heart_TMTHF_FR1WO_duplicate.txt-100199	0.06484494	10258209.33
RH_Heart_TMTHF_FR1WO_duplicate.txt-100213	0.052214622	442632.3542
RH_Heart_TMTHF_FR1WO_duplicate.txt-100219	-0.497898672	4276.865153
RH_Heart_TMTHF_FR1WO_duplicate.txt-100238	-0.043300363	88062.08854
RH_Heart_TMTHF_FR1WO_duplicate.txt-100242	0.162820624	41235.01953
RH_Heart_TMTHF_FR1WO_duplicate.txt-100263	-0.178309107	1565123.083
RH_Heart_TMTHF_FR1WO_duplicate.txt-100280	0.024646648	25608.82292
RH_Heart_TMTHF_FR1WO_duplicate.txt-100287	0.066178657	87181.58594
RH_Heart_TMTHF_FR1WO_duplicate.txt-100297	-0.117429519	1599792.333
RH_Heart_TMTHF_FR1WO_duplicate.txt-100318	0.133774523	29364.4362
RH_Heart_TMTHF_FR1WO_duplicate.txt-100331	0.030328857	135043.8828
RH_Heart_TMTHF_FR1WO_duplicate.txt-100350	0.17938822	265593.7761
RH_Heart_TMTHF_FR1WO_duplicate.txt-100351	0.068748526	219007.7344
RH_Heart_TMTHF_FR1WO_duplicate.txt-100352	0.081066896	69599.8099
RH_Heart_TMTHF_FR1WO_duplicate.txt-100357	0.257045244	47194.50781
RH_Heart_TMTHF_FR1WO_duplicate.txt-100375	-0.007566957	66401.65495
RH_Heart_TMTHF_FR1WO_duplicate.txt-100379	-0.092735886	109981.0052
RH_Heart_TMTHF_FR1WO_duplicate.txt-100396	0.100429546	364912.6771
RH_Heart_TMTHF_FR1WO_duplicate.txt-100407	0.106648277	50455.7474
RH_Heart_TMTHF_FR1WO_duplicate.txt-100418	0.061104596	6138235
RH_Heart_TMTHF_FR1WO_duplicate.txt-100427	0.079495246	260133.3594
RH_Heart_TMTHF_FR1WO_duplicate.txt-100468	0.023732186	222713.7083
RH_Heart_TMTHF_FR1WO_duplicate.txt-100479	-0.045948414	1057353.354
RH_Heart_TMTHF_FR1WO_duplicate.txt-100510	-0.037470341	818914.5833
RH_Heart_TMTHF_FR1WO_duplicate.txt-100512	0.064271157	113584.1641
RH_Heart_TMTHF_FR1WO_duplicate.txt-100517	0.257892169	33529.17904
RH_Heart_TMTHF_FR1WO_duplicate.txt-100531	0.233574577	12778.81152
RH_Heart_TMTHF_FR1WO_duplicate.txt-10055	0.324963196	3002.25708
RH_Heart_TMTHF_FR1WO_duplicate.txt-100551	0.156288786	556230.6146
RH_Heart_TMTHF_FR1WO_duplicate.txt-100570	0.098595674	80546.33854
RH_Heart_TMTHF_FR1WO_duplicate.txt-100577	-0.458916744	53744.83594
RH_Heart_TMTHF_FR1WO_duplicate.txt-100596	-0.013822108	85557.54167
RH_Heart_TMTHF_FR1WO_duplicate.txt-100598	0.067649173	52026.97786
RH_Heart_TMTHF_FR1WO_duplicate.txt-100622	-0.130740337	962242.0625
RH_Heart_TMTHF_FR1WO_duplicate.txt-100628	0.011975593	70489.58203
RH_Heart_TMTHF_FR1WO_duplicate.txt-100638	-0.12331721	2829861.708
RH_Heart_TMTHF_FR1WO_duplicate.txt-100661	0.054804063	36761.6875
RH_Heart_TMTHF_FR1WO_duplicate.txt-100690	-0.066565517	647780.3542
RH_Heart_TMTHF_FR1WO_duplicate.txt-100698	0.031269606	124930.0286
RH_Heart_TMTHF_FR1WO_duplicate.txt-100700	0.162264655	30616.64974
RH_Heart_TMTHF_FR1WO_duplicate.txt-100703	-0.013659387	28895.06576
RH_Heart_TMTHF_FR1WO_duplicate.txt-100727	0.012422941	14637.97949
RH_Heart_TMTHF_FR1WO_duplicate.txt-100730	0.173557192	182023.4167
RH_Heart_TMTHF_FR1WO_duplicate.txt-100732	-0.105028371	200428.5052
RH_Heart_TMTHF_FR1WO_duplicate.txt-100747	0.075580753	32106.17253
RH_Heart_TMTHF_FR1WO_duplicate.txt-100759	0.291534475	34388.14518
RH_Heart_TMTHF_FR1WO_duplicate.txt-100771	-0.040983759	758338.7292
RH_Heart_TMTHF_FR1WO_duplicate.txt-100774	0.12482515	252074.2396
RH_Heart_TMTHF_FR1WO_duplicate.txt-100782	-0.056681265	7481725
RH_Heart_TMTHF_FR1WO_duplicate.txt-100801	-0.068567022	78902.55208
RH_Heart_TMTHF_FR1WO_duplicate.txt-100819	0.018868789	2010441.417
RH_Heart_TMTHF_FR1WO_duplicate.txt-100821	-0.114520309	64892.86198
RH_Heart_TMTHF_FR1WO_duplicate.txt-100829	0.237511561	17758.153
RH_Heart_TMTHF_FR1WO_duplicate.txt-100839	0.025643961	62877.77084
RH_Heart_TMTHF_FR1WO_duplicate.txt-100842	0.016048077	49683.97656
RH_Heart_TMTHF_FR1WO_duplicate.txt-100844	0.048116149	36431.64193
RH_Heart_TMTHF_FR1WO_duplicate.txt-100848	0.072039429	30929.13542
RH_Heart_TMTHF_FR1WO_duplicate.txt-100854	-0.008374444	655127.6875
RH_Heart_TMTHF_FR1WO_duplicate.txt-100885	0.065729805	63907.35807
RH_Heart_TMTHF_FR1WO_duplicate.txt-100887	-0.092620403	123575.9818
RH_Heart_TMTHF_FR1WO_duplicate.txt-100888	0.111916802	145958.5156
RH_Heart_TMTHF_FR1WO_duplicate.txt-100907	0.111748062	291392.8698
RH_Heart_TMTHF_FR1WO_duplicate.txt-100911	0.035265387	120824.0313
RH_Heart_TMTHF_FR1WO_duplicate.txt-100914	0.277906211	29543.80859
RH_Heart_TMTHF_FR1WO_duplicate.txt-100916	0.107981184	48206.54818
RH_Heart_TMTHF_FR1WO_duplicate.txt-100921	0.15640131	41690.96745
RH_Heart_TMTHF_FR1WO_duplicate.txt-100935	0.036285929	71342.76562
RH_Heart_TMTHF_FR1WO_duplicate.txt-100941	0.193822861	100682.1771
RH_Heart_TMTHF_FR1WO_duplicate.txt-100948	0.174881147	78669.57031
RH_Heart_TMTHF_FR1WO_duplicate.txt-100951	-0.04267761	28244.30859
RH_Heart_TMTHF_FR1WO_duplicate.txt-100963	-0.048459241	73322.54948
RH_Heart_TMTHF_FR1WO_duplicate.txt-100979	0.109951844	70112.11198
RH_Heart_TMTHF_FR1WO_duplicate.txt-100987	0.147448479	301543.1354
RH_Heart_TMTHF_FR1WO_duplicate.txt-100988	0.197228667	432697.4688
RH_Heart_TMTHF_FR1WO_duplicate.txt-100996	-0.130965548	4199552.417
RH_Heart_TMTHF_FR1WO_duplicate.txt-101016	-0.053988483	132094.9818
RH_Heart_TMTHF_FR1WO_duplicate.txt-101027	0.104182834	331907.2188
RH_Heart_TMTHF_FR1WO_duplicate.txt-101035	0.124527701	2864046.5
RH_Heart_TMTHF_FR1WO_duplicate.txt-101041	0.031875779	66650.66276
RH_Heart_TMTHF_FR1WO_duplicate.txt-101049	0.123753881	64366.6276
RH_Heart_TMTHF_FR1WO_duplicate.txt-101051	0.203194275	257223.974
RH_Heart_TMTHF_FR1WO_duplicate.txt-101056	-0.069215922	42137.42578
RH_Heart_TMTHF_FR1WO_duplicate.txt-101060	0.04660612	126603.8959
RH_Heart_TMTHF_FR1WO_duplicate.txt-101072	0.176098292	290489.9375
RH_Heart_TMTHF_FR1WO_duplicate.txt-101096	-0.080262385	60731.10287
RH_Heart_TMTHF_FR1WO_duplicate.txt-101110	0.070005713	100179.112
RH_Heart_TMTHF_FR1WO_duplicate.txt-101114	0.18825934	141266.5781
RH_Heart_TMTHF_FR1WO_duplicate.txt-101117	0.051937186	65014.74219
RH_Heart_TMTHF_FR1WO_duplicate.txt-101129	0.110860613	90153.98958
RH_Heart_TMTHF_FR1WO_duplicate.txt-101136	0.07956831	45244.6263
RH_Heart_TMTHF_FR1WO_duplicate.txt-101140	0.120412743	50588.09766
RH_Heart_TMTHF_FR1WO_duplicate.txt-101143	0.058245215	43420.25
RH_Heart_TMTHF_FR1WO_duplicate.txt-101148	0.224528547	124843.4766
RH_Heart_TMTHF_FR1WO_duplicate.txt-101157	0.14607094	47227.47656
RH_Heart_TMTHF_FR1WO_duplicate.txt-101158	-0.019054676	85736.79167
RH_Heart_TMTHF_FR1WO_duplicate.txt-101167	0.270459334	60634.79688
RH_Heart_TMTHF_FR1WO_duplicate.txt-101173	-0.136936935	262776.5157
RH_Heart_TMTHF_FR1WO_duplicate.txt-101184	0.100213636	128537.8073
RH_Heart_TMTHF_FR1WO_duplicate.txt-101186	0.063392406	79666.45052
RH_Heart_TMTHF_FR1WO_duplicate.txt-101202	0.097381924	78115.30469
RH_Heart_TMTHF_FR1WO_duplicate.txt-101208	0.416666556	200145.8125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101215	0.141869326	2781902
RH_Heart_TMTHF_FR1WO_duplicate.txt-101230	0.158919235	101773.4505
RH_Heart_TMTHF_FR1WO_duplicate.txt-101237	0.200980174	40489.77865
RH_Heart_TMTHF_FR1WO_duplicate.txt-101240	0.302366414	325244.7708
RH_Heart_TMTHF_FR1WO_duplicate.txt-101251	0.345117047	1223545.625
RH_Heart_TMTHF_FR1WO_duplicate.txt-101272	-0.051223297	664040.1667
